reservation_id,customer_id,restaurant_id,reservation_time,guest_count,notes,status,rejection_reason,created_at,updated_at
f9236388-df76-4258-b867-45afe01583e5,d97bcd94-9910-49b9-89ed-6daf2ae61752,146db025-665d-4b1c-ae86-02d361189aa9,2026-05-17 02:52:33,10,Kỷ niệm,CANCELLED,,2026-05-10 15:37:33,2026-05-10 15:37:33
ba01429e-ead5-4dca-966d-941ab75e16d7,338e8a37-148d-4c12-a51e-6d39862f1179,146db025-665d-4b1c-ae86-02d361189aa9,2026-05-19 02:52:33,4,Gần cửa sổ,COMPLETED,,2026-05-10 07:37:33,2026-05-10 07:37:33
97a74429-25d0-4cad-99c2-2a2ddd5e6415,7078597c-28b0-41e3-9fbb-e1a0a67d2410,146db025-665d-4b1c-ae86-02d361189aa9,2026-05-17 23:52:33,4,Gần cửa sổ,CANCELLED,,2026-05-12 03:37:33,2026-05-12 03:37:33
d5fb4d37-5224-4eef-99b2-a58ce96ca278,860ddf4f-044c-4bc0-84b9-f62bc30d0733,146db025-665d-4b1c-ae86-02d361189aa9,2026-05-21 20:37:33,3,Ghế trẻ em,CONFIRMED,,2026-05-09 14:37:33,2026-05-09 14:37:33
a976380e-7302-422f-bfa5-7b06a08960bc,fdefc82f-0fbf-4686-9577-ff677646d326,146db025-665d-4b1c-ae86-02d361189aa9,2026-05-16 01:37:33,4,Gần cửa sổ,CANCELLED,,2026-05-10 19:37:33,2026-05-10 19:37:33
e69526fe-f457-4cb9-8924-815636771d63,b9b489e1-d6b0-4162-8998-539fa36dad61,db62dce8-6248-47c7-974a-2abf6402197d,2026-05-17 05:22:33,10,Ghế trẻ em,PENDING,,2026-05-10 08:37:33,2026-05-10 08:37:33
15460d1e-fde7-4042-a7ba-1c829fe9107f,35ae89a0-8b1d-4a70-b8a2-59c9c132600a,db62dce8-6248-47c7-974a-2abf6402197d,2026-05-22 05:22:33,10,Ghế trẻ em,PENDING,,2026-05-11 05:37:33,2026-05-11 05:37:33
8279a99b-75a9-4dc2-9adc-aaecc144a257,9ab7dfda-488b-44a7-b8d4-748de7462cf2,db62dce8-6248-47c7-974a-2abf6402197d,2026-05-26 06:52:33,7,Gần cửa sổ,COMPLETED,,2026-05-09 19:37:33,2026-05-09 19:37:33
38ac7812-debe-47cc-9539-5a12d4566d70,262efaa0-a0fe-438a-a5e2-27fdbf24489d,db62dce8-6248-47c7-974a-2abf6402197d,2026-05-15 04:37:33,6,Gần cửa sổ,PENDING,,2026-05-09 03:37:33,2026-05-09 03:37:33
aa634b5f-de70-4d2c-bb55-c85b6b8604dd,b8669122-935d-4cf9-8de4-54537dc39d38,db62dce8-6248-47c7-974a-2abf6402197d,2026-05-26 02:37:33,9,Ghế trẻ em,REJECTED,Kín bàn,2026-05-10 14:37:33,2026-05-10 14:37:33
