id,name,lat,long
HCM_00001,Lotteria,10.7824512,106.6773049
HCM_00002,Cà Phê Acoustic,10.7811643,106.6898451
HCM_00003,Cà Phê Sỏi Đá,10.7809198,106.689929
HCM_00004,Cà Phê Du Miên,10.7923386,106.6760528
HCM_00005,Cà Phê Mê Khúc,10.7987704,106.6865074
HCM_00006,KFC,10.7536456,106.6582631
HCM_00007,Lotteria,10.7528814,106.6695842
HCM_00008,KFC,10.7669666,106.6962301
HCM_00009,KFC,10.780868,106.6982351
HCM_00010,Lotteria,10.7717072,106.687498
HCM_00011,KFC,10.7573679,106.6744982
HCM_00012,Lotteria,10.7806494,106.6984325
HCM_00013,Lotteria,10.7815168,106.6926088
HCM_00014,Bánh Bao Đức Ký,10.7567772,106.6534012
HCM_00015,KFC,10.7702226,106.6938718
HCM_00016,Lotteria,10.7917715,106.6913899
HCM_00017,KFC,10.7862755,106.6660853
HCM_00018,Lotteria,10.7676493,106.6953831
HCM_00019,Lotteria,10.7559824,106.6628075
HCM_00020,KFC,10.7820677,106.6288429
HCM_00021,Nhà Hàng BBQ Chicken,10.768208,106.6841501
HCM_00022,Lotteria,10.7777196,106.6655017
HCM_00023,Lotteria,10.7677546,106.6666246
HCM_00024,Lotteria,10.7994166,106.696288
HCM_00025,Lotteria,10.7567799,106.6852501
HCM_00026,KFC,10.7886556,106.6760753
HCM_00027,KFC,10.7501568,106.650781
HCM_00028,KFC,10.7620711,106.6563833
HCM_00029,Jollibee,10.7699629,106.6821277
HCM_00030,Lotteria,10.7570454,106.6780965
HCM_00031,Cửa Hàng Thức Ăn Nhanh Chicken Town,10.7755226,106.6194713
HCM_00032,Cửa Hàng Đồ Ăn Nhanh G-Bread,10.7616574,106.6896218
HCM_00033,Lotteria,10.7882662,106.6618944
HCM_00034,Lotteria,10.7976096,106.6907825
HCM_00035,Cà Phê Vườn Xuân,10.7926596,106.6797398
HCM_00036,Khách Sạn 64,10.7673604,106.6937183
HCM_00037,Khách Sạn Sao Nam,10.7687973,106.6942749
HCM_00038,Khách Sạn Mai Phai,10.7685526,106.693038
HCM_00039,Khách Sạn Hà Vy,10.7665393,106.6912556
HCM_00040,Khách Sạn Cô Lợi,10.7620278,106.6929627
HCM_00041,Khách Sạn Dragon Palace,10.7689864,106.6941859
HCM_00042,Khách Sạn Liên Hà,10.7679206,106.6948493
HCM_00043,Khách Sạn Rạng Đông,10.7725398,106.6912687
HCM_00044,Nhà Hàng Crazy Buffalo,10.767375,106.6941425
HCM_00045,Go 2 Bar,10.7672775,106.69391
HCM_00046,Nhà Hàng Pizza Fixme,10.7680337,106.6938158
HCM_00047,Cà Phê Amenity,10.7682761,106.6936656
HCM_00048,Nhà Hàng Đồ Ăn Việt Nam Aroma,10.7684684,106.6938884
HCM_00049,Bánh Canh Hoàng Ty,10.7917311,106.6915979
HCM_00050,Cà Phê Napoli,10.7732622,106.6938064
HCM_00051,Cafe Thứ 7,10.7853912,106.6966905
HCM_00052,Khách Sạn Mifuki Boutique,10.7718577,106.6951014
HCM_00053,Khách Sạn Saigon Sports 3,10.7685951,106.694409
HCM_00054,Thuan Thien Hotel,10.7717128,106.6956525
HCM_00055,Cà Phê Au Parc,10.7787503,106.6981182
HCM_00056,Khách Sạn Saigon Backpacker's,10.7685636,106.6932193
HCM_00057,Khách Sạn 4 Roses,10.7673047,106.6790131
HCM_00058,Nhà Hàng Vietnamese Kitchen,10.7666137,106.6922676
HCM_00059,Khách Sạn Vườn Sài Gòn,10.7724651,106.67099
HCM_00060,Cà Phê Đá,10.7805631,106.6975344
HCM_00061,Cà Phê 4A,10.781379,106.697592
HCM_00062,Cửa Hàng Fresh Donuts,10.7827014,106.6980129
HCM_00063,Nhà Hàng Shri Lounge,10.7826304,106.6972822
HCM_00064,Hội Quán Thanh Niên,10.7819478,106.6979915
HCM_00065,Nhà Hàng Tiệc Cưới 108 Nguyễn Du,10.7754764,106.6956779
